C1:1
C2:1
C3:1
C4:1
D1:1
F1:1
G***:1
J1:1
J2:1
J3:1
J4:1
J5:1
K1:1
MOSFET1:1
Q1:1
R1:1
R2:1
R3:1
REF**:4
U1:1
